text,entity_idx,start_pos,end_pos,score
"🍫 Отчёты российских продуктовых ритейлеров: кто более интересен для покупки?  Три крупнейших публичных продуктовых ритейлера — X5 Group #FIVE, Магнит #MGNT и Лента #LNTA – опубликовали отчеты за последний квартал. Давайте посмотрим, что нового.  Инфляция — главный драйвер роста  Инфляция в 2021 году перевалила за 8%, а продуктовая еще выше. Неудивительно, что у всех ритейлеров ускорились темпы роста выручки и LFL-продаж. Если в этом году рост цен замедлится, эти показатели могут просесть.   Ритейлеры уже большие, но точки роста остаются  К счастью, не только инфляция является драйвером роста для торговых сетей, но и новые консолидации:  • Магнит приобрел сеть Дикси. В 4 квартале она принесла уже 14% общей выручки. А ещё есть планы купить сеть «Улыбка радуги».  • Лента купила торговые сети «Билла» и «Семья», нацеливается на «Утконос».  • X5 Group развивает собственную сеть дискаунтеров Чижик.  Ставка на онлайн-доставку  Развитие сервисов онлайн-доставки – главный тренд в продуктовом ритейле сегодня. Например, у X5 Group выручка от онлайн-сегмента в 2021 году выросла на 140%, у Ленты на 208%, у Магнита – в 11 раз, но с низкой базы. А ещё гипермаркеты теряют популярность, им на смену приходят магазины «у дома».   Мнение аналитиков InvestFuture  📍Акции X5 давно не стоили так дешево по мультипликаторам, как сейчас. Они могут быть интересны для инвесторов, которые хотят получить одновременно рост бумаги с бонусом в виде дивидендов.  📍Магнит в 2021 году вырвался в лидеры по темпам роста. У него исторически самая высокая дивидендная доходность в секторе, а ещё он планирует провести buyback. Сейчас Магнит оценивается в 11 годовых прибылей, что в общем сопоставимо с показателем X5.  📍Лента пока выглядит отстающим от сектора игроком. Однако ситуация постепенно меняется, и в последнем квартале Ленте уже удалось обогнать X5 по темпам роста выручки. У нее есть шанс показать наибольшую доходность с более низкой базы в перспективе 3-5 лет.  #IF_сектор #IF_акции_РФ",89,151,154,5
"🍫 Отчёты российских продуктовых ритейлеров: кто более интересен для покупки?  Три крупнейших публичных продуктовых ритейлера — X5 Group #FIVE, Магнит #MGNT и Лента #LNTA – опубликовали отчеты за последний квартал. Давайте посмотрим, что нового.  Инфляция — главный драйвер роста  Инфляция в 2021 году перевалила за 8%, а продуктовая еще выше. Неудивительно, что у всех ритейлеров ускорились темпы роста выручки и LFL-продаж. Если в этом году рост цен замедлится, эти показатели могут просесть.   Ритейлеры уже большие, но точки роста остаются  К счастью, не только инфляция является драйвером роста для торговых сетей, но и новые консолидации:  • Магнит приобрел сеть Дикси. В 4 квартале она принесла уже 14% общей выручки. А ещё есть планы купить сеть «Улыбка радуги».  • Лента купила торговые сети «Билла» и «Семья», нацеливается на «Утконос».  • X5 Group развивает собственную сеть дискаунтеров Чижик.  Ставка на онлайн-доставку  Развитие сервисов онлайн-доставки – главный тренд в продуктовом ритейле сегодня. Например, у X5 Group выручка от онлайн-сегмента в 2021 году выросла на 140%, у Ленты на 208%, у Магнита – в 11 раз, но с низкой базы. А ещё гипермаркеты теряют популярность, им на смену приходят магазины «у дома».   Мнение аналитиков InvestFuture  📍Акции X5 давно не стоили так дешево по мультипликаторам, как сейчас. Они могут быть интересны для инвесторов, которые хотят получить одновременно рост бумаги с бонусом в виде дивидендов.  📍Магнит в 2021 году вырвался в лидеры по темпам роста. У него исторически самая высокая дивидендная доходность в секторе, а ещё он планирует провести buyback. Сейчас Магнит оценивается в 11 годовых прибылей, что в общем сопоставимо с показателем X5.  📍Лента пока выглядит отстающим от сектора игроком. Однако ситуация постепенно меняется, и в последнем квартале Ленте уже удалось обогнать X5 по темпам роста выручки. У нее есть шанс показать наибольшую доходность с более низкой базы в перспективе 3-5 лет.  #IF_сектор #IF_акции_РФ",229,165,168,4
"🍫 Отчёты российских продуктовых ритейлеров: кто более интересен для покупки?  Три крупнейших публичных продуктовых ритейлера — X5 Group #FIVE, Магнит #MGNT и Лента #LNTA – опубликовали отчеты за последний квартал. Давайте посмотрим, что нового.  Инфляция — главный драйвер роста  Инфляция в 2021 году перевалила за 8%, а продуктовая еще выше. Неудивительно, что у всех ритейлеров ускорились темпы роста выручки и LFL-продаж. Если в этом году рост цен замедлится, эти показатели могут просесть.   Ритейлеры уже большие, но точки роста остаются  К счастью, не только инфляция является драйвером роста для торговых сетей, но и новые консолидации:  • Магнит приобрел сеть Дикси. В 4 квартале она принесла уже 14% общей выручки. А ещё есть планы купить сеть «Улыбка радуги».  • Лента купила торговые сети «Билла» и «Семья», нацеливается на «Утконос».  • X5 Group развивает собственную сеть дискаунтеров Чижик.  Ставка на онлайн-доставку  Развитие сервисов онлайн-доставки – главный тренд в продуктовом ритейле сегодня. Например, у X5 Group выручка от онлайн-сегмента в 2021 году выросла на 140%, у Ленты на 208%, у Магнита – в 11 раз, но с низкой базы. А ещё гипермаркеты теряют популярность, им на смену приходят магазины «у дома».   Мнение аналитиков InvestFuture  📍Акции X5 давно не стоили так дешево по мультипликаторам, как сейчас. Они могут быть интересны для инвесторов, которые хотят получить одновременно рост бумаги с бонусом в виде дивидендов.  📍Магнит в 2021 году вырвался в лидеры по темпам роста. У него исторически самая высокая дивидендная доходность в секторе, а ещё он планирует провести buyback. Сейчас Магнит оценивается в 11 годовых прибылей, что в общем сопоставимо с показателем X5.  📍Лента пока выглядит отстающим от сектора игроком. Однако ситуация постепенно меняется, и в последнем квартале Ленте уже удалось обогнать X5 по темпам роста выручки. У нее есть шанс показать наибольшую доходность с более низкой базы в перспективе 3-5 лет.  #IF_сектор #IF_акции_РФ",227,127,134,4
"🍫 Отчёты российских продуктовых ритейлеров: кто более интересен для покупки?  Три крупнейших публичных продуктовых ритейлера — X5 Group #FIVE, Магнит #MGNT и Лента #LNTA – опубликовали отчеты за последний квартал. Давайте посмотрим, что нового.  Инфляция — главный драйвер роста  Инфляция в 2021 году перевалила за 8%, а продуктовая еще выше. Неудивительно, что у всех ритейлеров ускорились темпы роста выручки и LFL-продаж. Если в этом году рост цен замедлится, эти показатели могут просесть.   Ритейлеры уже большие, но точки роста остаются  К счастью, не только инфляция является драйвером роста для торговых сетей, но и новые консолидации:  • Магнит приобрел сеть Дикси. В 4 квартале она принесла уже 14% общей выручки. А ещё есть планы купить сеть «Улыбка радуги».  • Лента купила торговые сети «Билла» и «Семья», нацеливается на «Утконос».  • X5 Group развивает собственную сеть дискаунтеров Чижик.  Ставка на онлайн-доставку  Развитие сервисов онлайн-доставки – главный тренд в продуктовом ритейле сегодня. Например, у X5 Group выручка от онлайн-сегмента в 2021 году выросла на 140%, у Ленты на 208%, у Магнита – в 11 раз, но с низкой базы. А ещё гипермаркеты теряют популярность, им на смену приходят магазины «у дома».   Мнение аналитиков InvestFuture  📍Акции X5 давно не стоили так дешево по мультипликаторам, как сейчас. Они могут быть интересны для инвесторов, которые хотят получить одновременно рост бумаги с бонусом в виде дивидендов.  📍Магнит в 2021 году вырвался в лидеры по темпам роста. У него исторически самая высокая дивидендная доходность в секторе, а ещё он планирует провести buyback. Сейчас Магнит оценивается в 11 годовых прибылей, что в общем сопоставимо с показателем X5.  📍Лента пока выглядит отстающим от сектора игроком. Однако ситуация постепенно меняется, и в последнем квартале Ленте уже удалось обогнать X5 по темпам роста выручки. У нее есть шанс показать наибольшую доходность с более низкой базы в перспективе 3-5 лет.  #IF_сектор #IF_акции_РФ",89,143,148,5
"🍫 Отчёты российских продуктовых ритейлеров: кто более интересен для покупки?  Три крупнейших публичных продуктовых ритейлера — X5 Group #FIVE, Магнит #MGNT и Лента #LNTA – опубликовали отчеты за последний квартал. Давайте посмотрим, что нового.  Инфляция — главный драйвер роста  Инфляция в 2021 году перевалила за 8%, а продуктовая еще выше. Неудивительно, что у всех ритейлеров ускорились темпы роста выручки и LFL-продаж. Если в этом году рост цен замедлится, эти показатели могут просесть.   Ритейлеры уже большие, но точки роста остаются  К счастью, не только инфляция является драйвером роста для торговых сетей, но и новые консолидации:  • Магнит приобрел сеть Дикси. В 4 квартале она принесла уже 14% общей выручки. А ещё есть планы купить сеть «Улыбка радуги».  • Лента купила торговые сети «Билла» и «Семья», нацеливается на «Утконос».  • X5 Group развивает собственную сеть дискаунтеров Чижик.  Ставка на онлайн-доставку  Развитие сервисов онлайн-доставки – главный тренд в продуктовом ритейле сегодня. Например, у X5 Group выручка от онлайн-сегмента в 2021 году выросла на 140%, у Ленты на 208%, у Магнита – в 11 раз, но с низкой базы. А ещё гипермаркеты теряют популярность, им на смену приходят магазины «у дома».   Мнение аналитиков InvestFuture  📍Акции X5 давно не стоили так дешево по мультипликаторам, как сейчас. Они могут быть интересны для инвесторов, которые хотят получить одновременно рост бумаги с бонусом в виде дивидендов.  📍Магнит в 2021 году вырвался в лидеры по темпам роста. У него исторически самая высокая дивидендная доходность в секторе, а ещё он планирует провести buyback. Сейчас Магнит оценивается в 11 годовых прибылей, что в общем сопоставимо с показателем X5.  📍Лента пока выглядит отстающим от сектора игроком. Однако ситуация постепенно меняется, и в последнем квартале Ленте уже удалось обогнать X5 по темпам роста выручки. У нее есть шанс показать наибольшую доходность с более низкой базы в перспективе 3-5 лет.  #IF_сектор #IF_акции_РФ",89,151,154,5
"🍫 Отчёты российских продуктовых ритейлеров: кто более интересен для покупки?  Три крупнейших публичных продуктовых ритейлера — X5 Group #FIVE, Магнит #MGNT и Лента #LNTA – опубликовали отчеты за последний квартал. Давайте посмотрим, что нового.  Инфляция — главный драйвер роста  Инфляция в 2021 году перевалила за 8%, а продуктовая еще выше. Неудивительно, что у всех ритейлеров ускорились темпы роста выручки и LFL-продаж. Если в этом году рост цен замедлится, эти показатели могут просесть.   Ритейлеры уже большие, но точки роста остаются  К счастью, не только инфляция является драйвером роста для торговых сетей, но и новые консолидации:  • Магнит приобрел сеть Дикси. В 4 квартале она принесла уже 14% общей выручки. А ещё есть планы купить сеть «Улыбка радуги».  • Лента купила торговые сети «Билла» и «Семья», нацеливается на «Утконос».  • X5 Group развивает собственную сеть дискаунтеров Чижик.  Ставка на онлайн-доставку  Развитие сервисов онлайн-доставки – главный тренд в продуктовом ритейле сегодня. Например, у X5 Group выручка от онлайн-сегмента в 2021 году выросла на 140%, у Ленты на 208%, у Магнита – в 11 раз, но с низкой базы. А ещё гипермаркеты теряют популярность, им на смену приходят магазины «у дома».   Мнение аналитиков InvestFuture  📍Акции X5 давно не стоили так дешево по мультипликаторам, как сейчас. Они могут быть интересны для инвесторов, которые хотят получить одновременно рост бумаги с бонусом в виде дивидендов.  📍Магнит в 2021 году вырвался в лидеры по темпам роста. У него исторически самая высокая дивидендная доходность в секторе, а ещё он планирует провести buyback. Сейчас Магнит оценивается в 11 годовых прибылей, что в общем сопоставимо с показателем X5.  📍Лента пока выглядит отстающим от сектора игроком. Однако ситуация постепенно меняется, и в последнем квартале Ленте уже удалось обогнать X5 по темпам роста выручки. У нее есть шанс показать наибольшую доходность с более низкой базы в перспективе 3-5 лет.  #IF_сектор #IF_акции_РФ",229,158,162,4
"🍫 Отчёты российских продуктовых ритейлеров: кто более интересен для покупки?  Три крупнейших публичных продуктовых ритейлера — X5 Group #FIVE, Магнит #MGNT и Лента #LNTA – опубликовали отчеты за последний квартал. Давайте посмотрим, что нового.  Инфляция — главный драйвер роста  Инфляция в 2021 году перевалила за 8%, а продуктовая еще выше. Неудивительно, что у всех ритейлеров ускорились темпы роста выручки и LFL-продаж. Если в этом году рост цен замедлится, эти показатели могут просесть.   Ритейлеры уже большие, но точки роста остаются  К счастью, не только инфляция является драйвером роста для торговых сетей, но и новые консолидации:  • Магнит приобрел сеть Дикси. В 4 квартале она принесла уже 14% общей выручки. А ещё есть планы купить сеть «Улыбка радуги».  • Лента купила торговые сети «Билла» и «Семья», нацеливается на «Утконос».  • X5 Group развивает собственную сеть дискаунтеров Чижик.  Ставка на онлайн-доставку  Развитие сервисов онлайн-доставки – главный тренд в продуктовом ритейле сегодня. Например, у X5 Group выручка от онлайн-сегмента в 2021 году выросла на 140%, у Ленты на 208%, у Магнита – в 11 раз, но с низкой базы. А ещё гипермаркеты теряют популярность, им на смену приходят магазины «у дома».   Мнение аналитиков InvestFuture  📍Акции X5 давно не стоили так дешево по мультипликаторам, как сейчас. Они могут быть интересны для инвесторов, которые хотят получить одновременно рост бумаги с бонусом в виде дивидендов.  📍Магнит в 2021 году вырвался в лидеры по темпам роста. У него исторически самая высокая дивидендная доходность в секторе, а ещё он планирует провести buyback. Сейчас Магнит оценивается в 11 годовых прибылей, что в общем сопоставимо с показателем X5.  📍Лента пока выглядит отстающим от сектора игроком. Однако ситуация постепенно меняется, и в последнем квартале Ленте уже удалось обогнать X5 по темпам роста выручки. У нее есть шанс показать наибольшую доходность с более низкой базы в перспективе 3-5 лет.  #IF_сектор #IF_акции_РФ",89,647,652,5
"🍫 Отчёты российских продуктовых ритейлеров: кто более интересен для покупки?  Три крупнейших публичных продуктовых ритейлера — X5 Group #FIVE, Магнит #MGNT и Лента #LNTA – опубликовали отчеты за последний квартал. Давайте посмотрим, что нового.  Инфляция — главный драйвер роста  Инфляция в 2021 году перевалила за 8%, а продуктовая еще выше. Неудивительно, что у всех ритейлеров ускорились темпы роста выручки и LFL-продаж. Если в этом году рост цен замедлится, эти показатели могут просесть.   Ритейлеры уже большие, но точки роста остаются  К счастью, не только инфляция является драйвером роста для торговых сетей, но и новые консолидации:  • Магнит приобрел сеть Дикси. В 4 квартале она принесла уже 14% общей выручки. А ещё есть планы купить сеть «Улыбка радуги».  • Лента купила торговые сети «Билла» и «Семья», нацеливается на «Утконос».  • X5 Group развивает собственную сеть дискаунтеров Чижик.  Ставка на онлайн-доставку  Развитие сервисов онлайн-доставки – главный тренд в продуктовом ритейле сегодня. Например, у X5 Group выручка от онлайн-сегмента в 2021 году выросла на 140%, у Ленты на 208%, у Магнита – в 11 раз, но с низкой базы. А ещё гипермаркеты теряют популярность, им на смену приходят магазины «у дома».   Мнение аналитиков InvestFuture  📍Акции X5 давно не стоили так дешево по мультипликаторам, как сейчас. Они могут быть интересны для инвесторов, которые хотят получить одновременно рост бумаги с бонусом в виде дивидендов.  📍Магнит в 2021 году вырвался в лидеры по темпам роста. У него исторически самая высокая дивидендная доходность в секторе, а ещё он планирует провести buyback. Сейчас Магнит оценивается в 11 годовых прибылей, что в общем сопоставимо с показателем X5.  📍Лента пока выглядит отстающим от сектора игроком. Однако ситуация постепенно меняется, и в последнем квартале Ленте уже удалось обогнать X5 по темпам роста выручки. У нее есть шанс показать наибольшую доходность с более низкой базы в перспективе 3-5 лет.  #IF_сектор #IF_акции_РФ",229,773,777,4
"🍫 Отчёты российских продуктовых ритейлеров: кто более интересен для покупки?  Три крупнейших публичных продуктовых ритейлера — X5 Group #FIVE, Магнит #MGNT и Лента #LNTA – опубликовали отчеты за последний квартал. Давайте посмотрим, что нового.  Инфляция — главный драйвер роста  Инфляция в 2021 году перевалила за 8%, а продуктовая еще выше. Неудивительно, что у всех ритейлеров ускорились темпы роста выручки и LFL-продаж. Если в этом году рост цен замедлится, эти показатели могут просесть.   Ритейлеры уже большие, но точки роста остаются  К счастью, не только инфляция является драйвером роста для торговых сетей, но и новые консолидации:  • Магнит приобрел сеть Дикси. В 4 квартале она принесла уже 14% общей выручки. А ещё есть планы купить сеть «Улыбка радуги».  • Лента купила торговые сети «Билла» и «Семья», нацеливается на «Утконос».  • X5 Group развивает собственную сеть дискаунтеров Чижик.  Ставка на онлайн-доставку  Развитие сервисов онлайн-доставки – главный тренд в продуктовом ритейле сегодня. Например, у X5 Group выручка от онлайн-сегмента в 2021 году выросла на 140%, у Ленты на 208%, у Магнита – в 11 раз, но с низкой базы. А ещё гипермаркеты теряют популярность, им на смену приходят магазины «у дома».   Мнение аналитиков InvestFuture  📍Акции X5 давно не стоили так дешево по мультипликаторам, как сейчас. Они могут быть интересны для инвесторов, которые хотят получить одновременно рост бумаги с бонусом в виде дивидендов.  📍Магнит в 2021 году вырвался в лидеры по темпам роста. У него исторически самая высокая дивидендная доходность в секторе, а ещё он планирует провести buyback. Сейчас Магнит оценивается в 11 годовых прибылей, что в общем сопоставимо с показателем X5.  📍Лента пока выглядит отстающим от сектора игроком. Однако ситуация постепенно меняется, и в последнем квартале Ленте уже удалось обогнать X5 по темпам роста выручки. У нее есть шанс показать наибольшую доходность с более низкой базы в перспективе 3-5 лет.  #IF_сектор #IF_акции_РФ",227,849,856,4
"🍫 Отчёты российских продуктовых ритейлеров: кто более интересен для покупки?  Три крупнейших публичных продуктовых ритейлера — X5 Group #FIVE, Магнит #MGNT и Лента #LNTA – опубликовали отчеты за последний квартал. Давайте посмотрим, что нового.  Инфляция — главный драйвер роста  Инфляция в 2021 году перевалила за 8%, а продуктовая еще выше. Неудивительно, что у всех ритейлеров ускорились темпы роста выручки и LFL-продаж. Если в этом году рост цен замедлится, эти показатели могут просесть.   Ритейлеры уже большие, но точки роста остаются  К счастью, не только инфляция является драйвером роста для торговых сетей, но и новые консолидации:  • Магнит приобрел сеть Дикси. В 4 квартале она принесла уже 14% общей выручки. А ещё есть планы купить сеть «Улыбка радуги».  • Лента купила торговые сети «Билла» и «Семья», нацеливается на «Утконос».  • X5 Group развивает собственную сеть дискаунтеров Чижик.  Ставка на онлайн-доставку  Развитие сервисов онлайн-доставки – главный тренд в продуктовом ритейле сегодня. Например, у X5 Group выручка от онлайн-сегмента в 2021 году выросла на 140%, у Ленты на 208%, у Магнита – в 11 раз, но с низкой базы. А ещё гипермаркеты теряют популярность, им на смену приходят магазины «у дома».   Мнение аналитиков InvestFuture  📍Акции X5 давно не стоили так дешево по мультипликаторам, как сейчас. Они могут быть интересны для инвесторов, которые хотят получить одновременно рост бумаги с бонусом в виде дивидендов.  📍Магнит в 2021 году вырвался в лидеры по темпам роста. У него исторически самая высокая дивидендная доходность в секторе, а ещё он планирует провести buyback. Сейчас Магнит оценивается в 11 годовых прибылей, что в общем сопоставимо с показателем X5.  📍Лента пока выглядит отстающим от сектора игроком. Однако ситуация постепенно меняется, и в последнем квартале Ленте уже удалось обогнать X5 по темпам роста выручки. У нее есть шанс показать наибольшую доходность с более низкой базы в перспективе 3-5 лет.  #IF_сектор #IF_акции_РФ",227,1026,1033,4
